sorted_gene_pair,A1,A2,A1_entrez,A2_entrez,SL,min_sequence_identity,closest,WGD,family_size,cds_length_ratio,shared_domains,has_pombe_ortholog,has_essential_pombe_ortholog,has_cerevisiae_ortholog,has_essential_cerevisiae_ortholog,conservation_score,mean_age,either_in_complex,mean_complex_essentiality,colocalisation,interact,n_total_ppi,fet_ppi_overlap,shared_ppi_mean_essentiality,gtex_spearman_corr,gtex_min_mean_expr,gtex_max_mean_expr
ABCD3_ABCD4,ABCD3,ABCD4,5825,5826,False,0.245827,False,False,4,0.919697,1.0,False,False,True,False,8,1235.0,False,0.0,0.0,False,123,0.0,0.0,0.446712,15.077551,24.756812
ABHD13_ABHD17C,ABHD13,ABHD17C,84945,58489,False,0.21365,False,False,4,0.976331,1.0,True,False,True,False,9,1628.0,False,0.0,0.0,False,2,0.0,0.0,0.217996,7.349822,10.1245
ABHD15_ABHD3,ABHD15,ABHD3,116236,171586,False,0.207265,False,False,4,0.8742,0.0,False,False,True,False,9,902.05,False,0.0,0.25,False,20,0.0,0.0,0.543235,9.718772,14.013673
ABHD16A_ABHD16B,ABHD16A,ABHD16B,7920,140701,False,0.458781,True,False,2,0.840787,1.0,False,False,False,False,6,565.1,False,0.0,0.0,False,73,0.0,0.0,0.302273,37.587135,37.587135
ABHD17B_ABHD17C,ABHD17B,ABHD17C,51104,58489,False,0.683891,False,True,4,0.890909,1.0,False,False,True,False,8,1628.0,False,0.0,0.0,False,21,0.0,0.0,0.507339,10.1245,12.858883
ABHD4_ABHD5,ABHD4,ABHD5,63874,51099,False,0.527221,True,True,2,0.98,1.0,True,False,True,False,8,994.6,False,0.0,0.0,False,43,3.611869,0.023407,0.46027,18.513069,34.720726
ABI1_ABI3,ABI1,ABI3,10006,51225,False,0.318898,False,True,3,0.721022,0.333333,False,False,False,False,6,543.05,True,0.133254,0.0,False,158,19.376171,0.129482,0.237647,11.146167,36.040491
ABI2_ABI3,ABI2,ABI3,10152,51225,False,0.302144,False,True,3,0.714008,0.666667,False,False,False,False,6,102.85,True,0.147594,0.0,True,284,42.203278,0.200867,-0.055113,11.146167,12.27442
ABL1_ABL2,ABL1,ABL2,25,27,False,0.528765,True,True,11,0.972105,1.0,False,False,False,False,6,910.0,True,0.238134,0.5,True,208,40.51941,0.141142,0.69316,7.660549,61.157812
ABLIM1_ABLIM3,ABLIM1,ABLIM3,3983,22885,False,0.475578,True,True,4,0.878049,1.0,False,False,False,False,6,910.0,False,0.0,0.0,False,100,4.026564,0.016038,0.389992,30.102465,79.789703
ABLIM1_DMTN,ABLIM1,DMTN,3983,2039,False,0.237789,False,True,4,0.521181,0.666667,False,False,False,False,6,543.05,True,0.109883,0.0,False,99,9.319396,0.078457,-0.041714,49.099537,79.789703
ABLIM3_DMTN,ABLIM3,DMTN,22885,2039,False,0.212299,False,True,4,0.593567,0.666667,False,False,False,False,6,543.05,True,0.109883,0.0,False,42,0.0,0.0,-0.097067,30.102465,49.099537
ABRAXAS1_ABRAXAS2,ABRAXAS1,ABRAXAS2,84142,23172,False,0.26506,True,True,2,0.985577,0.0,False,False,False,False,5,454.6,True,0.157347,0.0,False,66,12.632228,0.202081,0.696014,2.755805,13.531682
ABR_BCR,ABR,BCR,29,613,False,0.455547,True,True,4,0.685535,0.6,False,False,False,False,4,842.0,False,0.0,1.0,False,97,13.310487,0.23277,0.512873,20.889232,42.365478
ACAA2_ACAT1,ACAA2,ACAT1,10449,38,False,0.367682,False,False,4,0.929907,1.0,True,True,True,True,8,4200.0,False,0.0,1.0,True,180,34.234419,0.247399,0.69965,36.348335,43.487384
ACAA2_HADHB,ACAA2,HADHB,10449,3032,False,0.28481,False,False,4,0.837895,1.0,False,False,True,True,8,2498.5,True,0.005202,1.0,False,349,9.762191,0.248074,0.731671,43.487384,103.694844
ACACA_ACACB,ACACA,ACACB,31,32,True,0.714809,True,False,2,0.9695,1.0,True,True,True,True,8,1628.0,False,0.0,0.0,False,124,14.29307,0.226268,0.090561,12.357441,43.165728
ACAD8_ACADM,ACAD8,ACADM,27034,34,False,0.284141,False,False,9,0.914286,1.0,False,False,False,False,6,682.3,True,0.610858,0.0,False,97,0.0,0.0,0.197253,21.251036,34.784566
ACAD8_ACADS,ACAD8,ACADS,27034,35,False,0.349398,False,False,9,0.992788,1.0,False,False,False,False,7,1041.3,True,0.610858,0.0,False,34,0.0,0.0,0.288258,21.251036,40.44741
ACAD8_ACADSB,ACAD8,ACADSB,27034,36,False,0.321759,False,False,9,0.960739,1.0,False,False,False,False,7,1041.3,True,0.610858,0.0,True,49,0.0,0.0,0.546235,16.50969,21.251036
ACAD8_GCDH,ACAD8,GCDH,27034,2639,False,0.251142,False,False,9,0.947608,1.0,False,False,False,False,7,682.3,True,0.610858,0.0,False,50,0.0,0.0,0.442338,15.763841,21.251036
ACAD8_IVD,ACAD8,IVD,27034,3712,False,0.284038,False,False,9,0.974239,1.0,False,False,False,False,6,1041.3,True,0.610858,0.0,False,44,0.0,0.0,0.428878,21.251036,34.895551
ACAD9_ACADS,ACAD9,ACADS,28976,35,False,0.236715,False,False,9,0.663987,1.0,False,False,False,False,6,1212.5,False,0.0,0.5,False,103,0.0,0.0,0.143838,27.248418,40.44741
ACAD9_ACADSB,ACAD9,ACADSB,28976,36,False,0.236715,False,False,9,0.696141,1.0,False,False,False,False,7,1212.5,False,0.0,1.0,False,115,6.553811,0.356307,0.442612,16.50969,27.248418
ACAD9_ACADVL,ACAD9,ACADVL,28976,37,False,0.414454,True,False,9,0.916053,1.0,False,False,False,False,6,508.6,False,0.0,0.25,False,136,14.56412,0.242393,0.352332,27.248418,378.793204
ACAD9_IVD,ACAD9,IVD,28976,3712,False,0.230274,False,False,9,0.686495,1.0,False,False,False,False,6,1212.5,False,0.0,0.5,False,112,0.987569,0.0,0.288014,27.248418,34.895551
ACADM_ACADS,ACADM,ACADS,34,35,False,0.330396,False,False,9,0.907692,1.0,False,False,False,False,7,1269.0,False,0.0,0.5,False,87,0.0,0.0,0.479784,34.784566,40.44741
ACADM_ACADSB,ACADM,ACADSB,34,36,False,0.325991,False,False,9,0.951648,1.0,False,False,False,False,7,1269.0,False,0.0,1.0,False,99,6.97675,0.362289,0.562531,16.50969,34.784566
ACADM_IVD,ACADM,IVD,34,3712,False,0.292952,False,False,9,0.938462,1.0,False,False,False,False,6,1269.0,False,0.0,0.5,False,89,13.817336,0.118336,0.416342,34.784566,34.895551
ACADSB_GCDH,ACADSB,GCDH,36,2639,False,0.26484,False,False,9,0.986333,1.0,False,False,False,False,8,1269.0,False,0.0,1.0,False,55,3.057883,0.362809,0.510336,15.763841,16.50969
ACADSB_IVD,ACADSB,IVD,36,3712,False,0.319444,False,False,9,0.986143,1.0,False,False,False,False,7,1628.0,False,0.0,0.5,False,50,1.469056,0.0,0.492517,16.50969,34.895551
ACADS_ACADSB,ACADS,ACADSB,35,36,False,0.377315,True,False,9,0.953811,1.0,False,False,False,False,7,1628.0,False,0.0,0.5,False,41,0.0,0.0,0.306835,16.50969,40.44741
ACADS_ACADVL,ACADS,ACADVL,35,37,False,0.210914,False,False,9,0.608247,1.0,False,False,False,False,7,924.1,False,0.0,0.5,False,68,0.0,0.0,0.662995,40.44741,378.793204
ACADS_GCDH,ACADS,GCDH,35,2639,False,0.292237,False,False,9,0.940774,1.0,False,False,False,False,8,1269.0,False,0.0,0.5,False,40,0.0,0.0,0.383786,15.763841,40.44741
ACADS_IVD,ACADS,IVD,35,3712,False,0.347418,False,False,9,0.967213,1.0,False,False,False,False,7,1628.0,False,0.0,1.0,False,34,0.0,0.0,0.264828,34.895551,40.44741
ACAP2_ASAP3,ACAP2,ASAP3,23527,55616,False,0.203765,False,False,12,0.861726,1.0,True,False,False,False,6,876.0,False,0.0,0.0,False,38,1.693481,0.002601,0.34959,14.754186,28.400674
ACAP3_ASAP3,ACAP3,ASAP3,116983,55616,False,0.211517,False,False,12,0.923673,0.6,True,False,False,False,7,876.0,False,0.0,0.333333,False,25,0.0,0.0,0.339234,28.400674,72.730244
ACOX1_ACOX3,ACOX1,ACOX3,51,8310,False,0.284286,False,False,4,0.942939,0.5,False,False,True,False,8,910.0,False,0.0,0.5,False,66,3.368446,0.010403,0.378858,13.812202,19.117722
ACP2_ACP6,ACP2,ACP6,53,51205,False,0.228972,False,False,4,0.988345,1.0,True,False,False,False,6,876.0,False,0.0,0.0,False,67,0.0,0.0,0.381421,4.808264,26.558397
ACSL3_ACSL4,ACSL3,ACSL4,2181,2182,False,0.643056,True,True,2,0.987517,1.0,True,False,True,False,8,1368.0,False,0.0,0.0,True,115,14.269573,0.141612,0.420776,23.652392,24.898765
ACSM3_ACSS1,ACSM3,ACSS1,6296,84532,False,0.216255,False,False,9,0.850725,0.666667,True,False,True,True,5,2280.6,False,0.0,0.0,False,10,0.0,0.0,0.208263,4.41376,20.897498
ACSM3_ACSS2,ACSM3,ACSS2,6296,55902,False,0.229692,False,False,9,0.820979,0.666667,False,False,True,True,9,2280.6,False,0.0,0.0,False,7,0.0,0.0,0.289307,4.41376,40.376316
ACSS1_ACSS2,ACSS1,ACSS2,84532,55902,False,0.438375,True,False,9,0.965035,1.0,True,False,True,True,9,4200.0,False,0.0,0.0,False,13,0.0,0.0,0.062899,20.897498,40.376316
ACTR3B_ACTR3C,ACTR3B,ACTR3C,57180,653857,False,0.454545,False,False,3,0.530628,1.0,True,True,True,True,7,814.0,False,0.0,0.0,False,36,0.0,0.0,0.164833,0.643397,12.480516
ACTR3_ACTR3B,ACTR3,ACTR3B,10096,57180,False,0.897129,True,True,3,1.0,1.0,True,True,True,True,8,1628.0,True,0.311964,0.0,True,132,27.716541,0.561335,-0.069657,12.480516,46.561593
ACTR3_ACTR3C,ACTR3,ACTR3C,10096,653857,False,0.406699,False,True,3,0.530628,1.0,True,True,True,True,8,814.0,True,0.311964,0.0,False,125,1.416635,0.890767,0.031904,0.643397,46.561593
ACVR1B_ACVR2A,ACVR1B,ACVR2A,91,92,False,0.261905,False,False,12,0.939671,0.666667,False,False,False,False,5,910.0,False,0.0,1.0,True,70,20.51281,0.054486,0.633401,8.349096,20.876708
ACVR1B_ACVR2B,ACVR1B,ACVR2B,91,93,False,0.263736,False,False,12,0.937843,0.666667,False,False,False,False,5,910.0,False,0.0,0.333333,True,77,33.210246,0.040475,0.243079,2.675786,20.876708
ACVR1B_BMPR1A,ACVR1B,BMPR1A,91,657,False,0.446886,False,False,12,0.974406,0.5,False,False,False,False,6,910.0,True,0.00065,1.0,False,135,33.023222,0.03778,0.209767,8.724412,20.876708
ACVR1B_TGFBR1,ACVR1B,TGFBR1,91,7046,False,0.641026,True,True,12,0.928702,0.75,False,False,False,False,5,910.0,True,0.013943,0.0,False,109,24.743961,0.020546,0.19869,17.142006,20.876708
ACVR1B_TGFBR2,ACVR1B,TGFBR2,91,7048,False,0.25,False,False,12,0.922428,0.0,False,False,False,False,5,455.0,True,0.025555,0.0,True,181,11.916037,0.063979,0.151146,20.876708,134.282746
ACVR1_ACVR1B,ACVR1,ACVR1B,90,91,False,0.445055,False,False,12,0.932358,1.0,False,False,False,False,5,910.0,False,0.0,0.5,True,67,30.319732,0.050251,0.288629,17.735693,20.876708
ACVR1_ACVR2A,ACVR1,ACVR2A,90,92,False,0.278752,False,False,12,0.992218,0.666667,False,False,False,False,5,910.0,False,0.0,0.5,True,60,36.827872,0.038118,0.59235,8.349096,17.735693
ACVR1_ACVR2B,ACVR1,ACVR2B,90,93,False,0.275391,False,False,12,0.994152,0.666667,False,False,False,False,5,910.0,False,0.0,0.25,False,74,36.327776,0.095923,0.30119,2.675786,17.735693
ACVR1_BMPR1A,ACVR1,BMPR1A,90,657,False,0.43797,False,False,12,0.956848,0.5,False,False,False,False,6,910.0,True,0.00065,0.5,True,127,39.261589,0.034491,0.854291,8.724412,17.735693
ACVR1_TGFBR1,ACVR1,TGFBR1,90,7046,False,0.473477,False,False,12,0.996078,0.75,False,False,False,False,5,910.0,True,0.013943,0.0,False,104,27.753345,0.120855,0.667382,17.142006,17.735693
ACVR1_TGFBR2,ACVR1,TGFBR2,90,7048,False,0.228041,False,False,12,0.860034,0.0,False,False,False,False,5,455.0,True,0.025555,0.0,True,175,15.845681,0.147161,0.784342,17.735693,134.282746
ACVR2A_ACVR2B,ACVR2A,ACVR2B,92,93,False,0.668616,True,True,12,0.998054,1.0,False,False,False,False,5,910.0,False,0.0,0.333333,False,67,53.587733,0.027604,0.417566,2.675786,8.349096
ACVR2A_BMPR1A,ACVR2A,BMPR1A,92,657,False,0.281955,False,False,12,0.964353,0.25,False,False,False,False,6,910.0,True,0.00065,1.0,True,127,37.193442,0.029974,0.618991,8.349096,8.724412
ACVR2A_TGFBR1,ACVR2A,TGFBR1,92,7046,False,0.274854,False,False,12,0.988327,0.5,False,False,False,False,5,910.0,True,0.013943,0.0,False,115,4.623341,0.003576,0.440844,8.349096,17.142006
ACVR2A_TGFBR2,ACVR2A,TGFBR2,92,7048,False,0.297297,False,True,12,0.866779,0.0,False,False,False,False,5,455.0,True,0.025555,0.0,True,179,7.728116,0.106818,0.413717,8.349096,134.282746
ACVR2B_BMPR1A,ACVR2B,BMPR1A,93,657,False,0.257519,False,False,12,0.962477,0.25,False,False,False,False,6,910.0,True,0.00065,0.333333,False,140,37.666809,0.030441,0.418752,2.675786,8.724412
ACVR2B_TGFBR1,ACVR2B,TGFBR1,93,7046,False,0.277344,False,False,12,0.990253,0.5,False,False,False,False,5,910.0,True,0.013943,0.0,False,123,11.9759,0.113856,0.282387,2.675786,17.142006
ADAMTS10_ADAMTS12,ADAMTS10,ADAMTS12,81794,81792,False,0.248432,False,True,11,0.692163,0.8,False,False,False,False,5,842.0,False,0.0,0.0,False,23,0.0,0.0,0.5543,2.299324,18.696327
ADAMTS10_ADAMTS2,ADAMTS10,ADAMTS2,81794,9509,False,0.262593,False,False,11,0.910891,0.8,False,False,False,False,5,648.3,False,0.0,0.0,False,26,0.0,0.0,0.604823,16.265427,18.696327
ADAMTS10_ADAMTS3,ADAMTS10,ADAMTS3,81794,9508,False,0.263071,False,False,11,0.915423,0.8,False,False,False,False,5,648.3,False,0.0,0.0,False,10,0.0,0.0,0.625424,1.437579,18.696327
ADAMTS12_ADAMTS2,ADAMTS12,ADAMTS2,81792,9509,False,0.200125,False,False,11,0.759875,1.0,False,False,False,False,5,648.3,False,0.0,0.0,False,33,0.0,0.0,0.721823,2.299324,16.265427
ADAMTS12_ADAMTS3,ADAMTS12,ADAMTS3,81792,9508,False,0.205772,False,False,11,0.756113,1.0,False,False,False,False,5,648.3,False,0.0,0.0,False,17,0.0,0.0,0.581029,1.437579,2.299324
ADAMTS2_ADAMTS3,ADAMTS2,ADAMTS3,9509,9508,False,0.554088,True,True,11,0.99505,1.0,False,False,False,False,5,454.6,False,0.0,0.0,False,20,0.0,0.0,0.555145,1.437579,16.265427
ADCK1_ADCK5,ADCK1,ADCK5,57143,203054,False,0.315517,True,False,2,0.901893,1.0,True,False,True,False,7,2148.7,False,0.0,0.0,False,42,11.018173,0.358908,0.618547,7.926202,11.880685
ADCY3_ADCY4,ADCY3,ADCY4,109,196883,False,0.310044,False,False,9,0.940663,0.666667,False,False,False,False,6,910.0,False,0.0,0.0,False,23,0.0,0.0,0.576111,25.508975,30.715797
ADCY3_ADCY6,ADCY3,ADCY6,109,112,False,0.328767,False,False,9,0.980325,0.666667,False,False,False,False,5,910.0,False,0.0,0.0,False,36,3.781619,0.006502,0.642246,30.715797,32.154348
ADCY3_ADCY7,ADCY3,ADCY7,109,113,False,0.307424,False,False,9,0.943281,0.666667,False,False,False,False,6,910.0,False,0.0,0.0,False,20,0.0,0.0,0.462959,6.207592,30.715797
ADCY4_ADCY6,ADCY4,ADCY6,196883,112,False,0.347603,False,False,9,0.922156,1.0,False,False,False,False,6,910.0,False,0.0,0.0,False,27,0.0,0.0,0.604299,25.508975,32.154348
ADCY4_ADCY7,ADCY4,ADCY7,196883,113,False,0.514815,False,True,9,0.997225,1.0,False,False,False,False,6,910.0,False,0.0,0.0,False,9,0.0,0.0,0.313222,6.207592,25.508975
ADCY6_ADCY7,ADCY6,ADCY7,112,113,False,0.331336,False,True,9,0.924722,1.0,False,False,False,False,6,910.0,False,0.0,0.0,False,24,0.0,0.0,0.216709,6.207592,32.154348
ADD1_ADD3,ADD1,ADD3,118,120,False,0.476562,False,True,3,0.919376,1.0,True,False,False,False,6,1368.0,False,0.0,0.5,True,85,30.428657,0.171977,0.474064,50.99323,135.806572
ADGRA2_ADGRA3,ADGRA2,ADGRA3,25960,166647,False,0.432735,True,True,4,0.987304,0.75,False,False,False,False,5,361.2,False,0.0,0.0,False,7,3.06297,0.206046,0.283792,10.53409,24.515107
ADNP_ADNP2,ADNP,ADNP2,23394,22850,False,0.232538,True,False,2,0.974382,0.0,False,False,False,False,4,454.6,False,0.0,0.0,False,83,8.759151,0.204941,0.786206,11.37743,30.049748
AEBP1_CPXM2,AEBP1,CPXM2,165,119587,False,0.343696,True,True,8,0.653149,1.0,False,False,False,False,6,454.6,False,0.0,0.0,False,3,0.0,0.0,0.831922,33.213857,282.746482
AFF1_AFF4,AFF1,AFF4,4299,27125,False,0.382594,True,True,4,0.954881,1.0,False,False,False,False,5,389.55,True,0.136649,0.333333,True,70,32.169643,0.27999,0.689312,28.435692,33.561983
AGAP1_AGAP3,AGAP1,AGAP3,116987,116988,False,0.670692,True,True,10,0.852336,1.0,False,False,False,False,6,797.0,False,0.0,0.0,False,95,7.906318,0.185956,0.610106,9.640153,37.764185
AGAP1_AGAP4,AGAP1,AGAP4,116987,119016,False,0.507585,False,True,10,0.642056,0.5,False,False,False,False,6,797.0,False,0.0,0.0,False,84,1.877953,0.005202,0.368227,4.887987,9.640153
AGAP1_AGAP5,AGAP1,AGAP5,116987,729092,False,0.521587,False,True,10,0.642056,0.5,False,False,False,False,6,797.0,False,0.0,0.0,False,83,2.053092,0.005202,0.187727,4.223639,9.640153
AGAP1_AGAP9,AGAP1,AGAP9,116987,642517,False,0.472579,False,False,10,0.615888,0.25,False,False,False,False,6,797.0,False,0.0,0.0,False,82,2.35317,0.005202,0.248942,9.640153,14.192569
AGAP3_AGAP4,AGAP3,AGAP4,116988,119016,False,0.354555,False,True,10,0.753289,0.5,False,False,False,False,6,797.0,False,0.0,0.0,False,20,2.534989,0.0,0.552911,4.887987,37.764185
AGAP3_AGAP5,AGAP3,AGAP5,116988,729092,False,0.362239,False,True,10,0.753289,0.5,False,False,False,False,6,797.0,False,0.0,0.0,False,19,2.710881,0.0,0.357087,4.223639,37.764185
AGAP3_AGAP9,AGAP3,AGAP9,116988,642517,False,0.335895,False,True,10,0.722588,0.25,False,False,False,False,6,797.0,False,0.0,0.0,False,19,0.0,0.0,0.443897,14.192569,37.764185
AGO1_AGO3,AGO1,AGO3,26523,192669,False,0.846512,True,False,8,0.996516,1.0,False,False,False,False,7,1368.0,False,0.0,0.0,True,115,27.462117,0.1671,0.763863,4.237189,8.783958
AGO1_AGO4,AGO1,AGO4,26523,192670,False,0.829268,False,False,8,0.99536,1.0,False,False,False,False,7,1368.0,True,0.0013,0.0,False,115,14.068533,0.096749,0.687402,8.783958,16.076516
AGO2_AGO3,AGO2,AGO3,27161,192669,False,0.796512,False,True,8,0.998839,1.0,False,False,False,False,7,1368.0,True,0.296427,0.333333,True,271,24.32139,0.226763,0.724517,4.237189,12.635069
AGO2_AGO4,AGO2,AGO4,27161,192670,False,0.780488,False,True,8,0.99768,1.0,False,False,False,False,7,1368.0,True,0.259536,0.0,True,275,7.071864,0.299957,0.607843,12.635069,16.076516
AGO3_AGO4,AGO3,AGO4,192669,192670,False,0.817654,False,False,8,0.99884,1.0,False,False,False,False,7,1368.0,True,0.0013,0.0,True,126,25.939984,0.320661,0.619075,4.237189,16.076516
AGPAT1_AGPAT2,AGPAT1,AGPAT2,10554,10555,True,0.452297,True,True,2,0.982394,1.0,True,False,True,False,8,2280.6,True,0.026333,0.0,False,40,1.654371,0.002601,0.026311,54.701127,112.961477
AGPAT3_AGPAT5,AGPAT3,AGPAT5,56894,55326,False,0.207447,False,False,4,0.96817,1.0,False,False,True,False,9,842.0,False,0.0,0.0,False,60,3.05514,0.263329,0.55035,10.839196,23.69105
AGPAT3_LCLAT1,AGPAT3,LCLAT1,56894,253558,False,0.2343,False,False,4,0.908434,1.0,True,False,True,False,8,1105.0,False,0.0,0.0,False,75,2.548777,0.0,0.120225,3.179403,23.69105
AIMP1_YARS1,AIMP1,YARS1,9255,8565,False,0.215909,True,False,2,0.637051,0.5,True,True,True,True,8,2784.0,True,0.796099,1.0,False,189,7.898874,0.151333,0.424752,23.786168,31.772732
AK3_AK4,AK3,AK4,50808,205,False,0.568282,True,True,2,0.982456,1.0,False,False,True,False,7,682.3,False,0.0,1.0,True,83,29.756075,0.235452,0.224436,15.147091,41.556735
AKR1A1_AKR1B1,AKR1A1,AKR1B1,10327,231,False,0.495385,False,False,10,0.972393,1.0,False,False,False,False,7,4200.0,False,0.0,1.0,False,72,14.051766,0.33238,0.101246,47.053936,130.891811
AKR1A1_AKR1C3,AKR1A1,AKR1C3,10327,8644,False,0.406154,False,False,10,0.993865,1.0,False,False,False,False,7,2210.1,False,0.0,0.5,False,41,0.0,0.0,0.463675,31.039251,47.053936
AKR1A1_AKR1E2,AKR1A1,AKR1E2,10327,83592,False,0.412308,False,False,10,0.984663,1.0,False,False,False,False,7,2100.0,False,0.0,0.333333,False,30,0.0,0.0,0.384536,3.174106,47.053936
AKR1B1_AKR1E2,AKR1B1,AKR1E2,231,83592,False,0.5625,False,True,10,0.987539,1.0,False,False,False,False,6,2100.0,False,0.0,0.333333,False,50,0.0,0.0,0.304594,3.174106,130.891811
AKR1C3_AKR1E2,AKR1C3,AKR1E2,8644,83592,False,0.427245,False,False,10,0.990741,1.0,False,False,False,False,5,110.1,False,0.0,0.2,False,11,0.0,0.0,0.440719,3.174106,31.039251
AKR7A2_KCNAB1,AKR7A2,KCNAB1,8574,7881,False,0.212411,False,False,5,0.857143,1.0,True,False,True,False,8,2498.5,False,0.0,0.0,False,44,0.0,0.0,0.081429,11.218084,50.80883
AKT1_AKT3,AKT1,AKT3,207,10000,True,0.825,True,True,14,0.997921,1.0,True,False,True,False,6,910.0,True,0.1717,0.0,True,428,17.395253,0.20332,0.670324,21.355215,51.813468
AKT1_RPS6KA2,AKT1,RPS6KA2,207,6196,False,0.204485,False,False,14,0.633729,0.666667,True,False,True,False,7,1139.0,True,0.1717,0.5,False,531,1.9434,0.073797,0.511222,28.850454,51.813468
AKT1_RPS6KA3,AKT1,RPS6KA3,207,6197,False,0.209459,False,False,14,0.649123,0.666667,True,False,True,False,6,1139.0,True,0.1717,0.25,False,463,17.126135,0.121705,0.546431,19.120376,51.813468
AKT1_SGK1,AKT1,SGK1,207,6446,True,0.357414,False,False,14,0.912713,0.5,True,False,True,False,7,682.3,True,0.154725,0.0,False,434,26.684116,0.255761,0.29691,41.120283,51.813468
AKT1_SGK3,AKT1,SGK3,207,23678,True,0.375,False,False,14,0.967807,0.5,True,False,True,False,7,876.0,True,0.1717,0.333333,False,403,4.611747,0.006502,0.243787,6.800464,51.813468
AKT3_RPS6KA1,AKT3,RPS6KA1,10000,6195,False,0.204301,False,False,14,0.644295,0.666667,True,False,True,False,7,1139.0,False,0.0,0.5,False,193,5.532424,0.188123,-0.149403,21.355215,26.820697
AKT3_RPS6KA2,AKT3,RPS6KA2,10000,6196,False,0.209763,False,False,14,0.632411,0.666667,True,False,True,False,7,1139.0,False,0.0,0.0,False,188,2.183949,0.322063,0.62479,21.355215,28.850454
AKT3_RPS6KA3,AKT3,RPS6KA3,10000,6197,False,0.214865,False,False,14,0.647773,0.666667,True,False,True,False,7,1139.0,False,0.0,0.333333,False,133,4.04949,0.262679,0.33954,19.120376,21.355215
AKT3_RPS6KB1,AKT3,RPS6KB1,10000,6198,False,0.293333,False,False,14,0.912548,0.666667,False,False,True,False,8,910.0,False,0.0,0.0,False,117,5.842615,0.022887,0.632622,13.032493,21.355215
